id,ra,dec,p,p_er,evpa,evpa_er,q,q_er,u,u_er,dist,dist_low,dist_up,Rmag1,date_obs
IT_1626-0144042,295.57828,72.62785,0.0047,0.0012,60.81149,6.98967,-0.00247,0.00112,0.00401,0.00123,144.602659673835,144.024590623143,145.185304613149,-999.0,2019
IT_1616-0131455,292.77872,71.68153,0.00386,0.00127,55.21223,8.81069,-0.00135,0.00117,0.00362,0.00128,731.25493246744,621.017186927598,887.041028976863,7.82,2019
IT_1624-0142877,297.17899,72.40303,0.00956,0.00116,-28.90963,3.31276,0.00509,0.00107,-0.00809,0.00119,375.599329653265,371.995173615064,379.272735089566,8.14,2019
IT_1616-0131984,293.70294,71.69577,0.01258,0.0012,-34.04889,2.5445,0.00469,0.0011,-0.01167,0.00122,672.112217660647,659.958715341942,684.713303101398,8.55,2019
IT_1615-0129164,294.47336,71.54285,0.00212,0.00125,60.07807,16.09333,-0.00107,0.00116,0.00184,0.00127,50.4502639154666,50.3848860911723,50.515808606559,8.66,2019
IT_1625-0143354,295.73807,72.52846,0.00431,0.00118,66.65851,7.78539,-0.00296,0.00112,0.00314,0.00123,316.009098649864,312.580392471913,319.512482739263,8.71,2019
IT_1622-0146158,296.2182,72.21172,0.00424,0.00117,60.90524,7.55179,-0.00224,0.00109,0.00361,0.0012,334.988412835397,332.755455982187,337.250999130597,8.91,2019
IT_1629-0139041,295.20786,72.9544,0.00284,0.0012,53.14356,11.20177,-8.0E-4,0.0011,0.00273,0.00121,259.431293864656,257.997881896721,260.880435803547,9.29,2019
IT_1618-0137046,293.70459,71.82797,0.01519,0.00125,-27.44772,2.2943,0.00873,0.00118,-0.01242,0.00129,1030.09999376261,1001.02232489098,1060.88337633744,9.39,2019
IT_1629-0138167,293.50778,72.96439,0.00748,0.00115,-17.29869,4.54687,0.00615,0.00111,-0.00424,0.00122,338.366678425981,308.241474717989,374.890365815237,9.45,2019
IT_1630-0130294,293.88483,73.06681,0.00697,0.00122,-14.24945,5.24565,0.00612,0.00119,-0.00332,0.0013,1078.52597671198,1053.16745662319,1105.11175012144,9.46,2019
IT_1615-0129046,294.26816,71.57069,3.6E-4,0.00128,34.12419,95.66499,1.3E-4,0.00119,3.4E-4,0.00129,85.7183051341739,85.5856002556949,85.8514148574949,9.53,2019
IT_1612-0128522,293.85968,71.29911,0.01452,0.00131,-35.23564,2.43011,0.00485,0.00122,-0.01368,0.00132,619.149818326065,611.987861285632,626.478307155278,9.54,2019
